YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R
2005,21,2005,30,0,2005-05-29,0.1848826976229958,1.07888,0.0171365395245992,0.4085495831321427,0.23618321549856114,89692.23160510675,30.703073682492985,10277.065321210817
2005,22,2005,31,0,2005-06-05,0.1682733055885839,1.23059,0.0136741973840665,0.3988269068406115,0.23920187222764464,90018.78644928269,29.433299066894648,9951.780251650327
2005,23,2005,32,0,2005-06-12,0.0873708121827406,1.14747,0.0076142131979695,0.3689911758353111,0.2402293381710948,90330.40791022593,27.439286752821587,9642.1528030212
2005,24,2005,33,0,2005-06-19,0.0993269484808447,1.00254,0.0099075297225891,0.35362687765641,0.24181929148582282,90632.95174941736,25.50092313613747,9341.547327446577
2005,25,2005,34,0,2005-06-26,0.0857059316517488,0.957569,0.0089503661513425,0.3357253813368268,0.24328559492715926,90929.93789858416,24.95728585952661,9045.104815556244
2005,26,2005,35,0,2005-07-03,0.0515543950617276,0.894837,0.0057613168724279,0.3269098886827808,0.24460090697786446,91213.32342857102,24.576086989043706,8762.100484439996
2005,27,2005,36,0,2005-07-10,0.0371950139794964,0.798205,0.0046598322460391,0.3190232882177565,0.2457709085705854,91495.00813176863,23.77312389722836,8481.218744334237
2005,28,2005,37,0,2005-07-17,0.0152938849646816,0.757812,0.0020181634712411,0.29074591496308494,0.2448747440800417,91766.65367082237,21.799077336123815,8211.547251841352
2005,29,2005,38,0,2005-07-24,0.0252074160732448,0.825963,0.0030518819938962,0.29230500131788645,0.2452427970821662,92034.32102862278,21.68247187151311,7943.996499505498
2005,30,2005,39,0,2005-07-31,0.0132549288256221,0.744927,0.0017793594306049,0.27650827347603074,0.245214862825704,92297.92939702586,20.779009804102937,7681.291593170086
2005,31,2005,40,0,2005-08-07,0.0,0.787049,0.0,0.13616197536835672,0.23948884281552044,92605.51828272031,11.32647064892362,7383.155246630629
2005,32,2005,41,0,2005-08-14,0.0284117842323644,0.684724,0.0041493775933609,0.19799125772068585,0.2403805068392396,92836.63669807019,15.47816897728455,7147.885132952427
2005,33,2005,42,0,2005-08-21,0.0453404044489379,0.747361,0.006066734074823,0.23780293483155382,0.24193968173544414,93056.16163531979,17.938779167830535,6925.899585512308
2005,34,2005,43,0,2005-08-28,0.0265344094488185,0.673974,0.0039370078740157,0.2617566373256638,0.24331274429570132,93284.2554463639,19.823119962242448,6695.921433673709
2005,35,2005,44,0,2005-09-04,0.0495063757115744,0.869662,0.0056925996204933,0.29191880556460276,0.24506750367884295,93505.30386436926,21.583196065207243,6473.112939565358
2005,36,2005,45,0,2005-09-11,0.00872482056256,0.899529,0.0009699321047526,0.2716121602936194,0.24437598626076143,93724.19060891503,20.190675762269887,6255.618715322574
2005,37,2005,46,0,2005-09-18,0.0388823930846216,0.854635,0.0045495905368516,0.28805027653885473,0.24572456130740472,93921.44432985577,21.835429351870737,6056.720240792312
2005,38,2005,47,0,2005-09-25,0.01580046875,1.01123,0.0015625,0.28435711112093415,0.2447974654346761,94119.01872017876,21.043612455171434,5859.937667366083
2005,39,2005,48,0,2005-10-02,0.0481678817733986,0.977808,0.0049261083743842,0.3028911344382851,0.24533906620415072,94297.15676946976,22.355119160710448,5680.488111369619
2005,40,2005,49,0,2005-10-09,0.0684032734952481,1.17778,0.0058078141499472,0.3236602525997887,0.246325687871173,94455.44551174494,24.049292643856422,5520.505195611235
2005,41,2005,50,0,2005-10-16,0.0667897763578272,1.21947,0.0054769511638521,0.34726691066440146,0.2473752799710099,94611.59711862395,25.345947379300902,5363.056933996614
2005,42,2005,51,0,2005-10-23,0.1390911025968489,1.3069,0.0106428267347807,0.38980697109451107,0.24960885503555438,94746.46403591876,29.166949679174575,5224.369014402222
2005,43,2005,52,0,2005-10-30,0.0674472661870492,1.33931,0.0050359712230215,0.4022540140261164,0.24992086227689814,94888.58245885762,29.284287288173992,5082.133253854098
2005,44,2006,1,0,2005-11-06,0.1260415916955014,1.58374,0.0079584775086505,0.4264598737051694,0.25115702192262723,95017.01291651194,31.805813132622465,4951.181270355593
2005,45,2006,2,0,2005-11-13,0.1904848192771075,1.47072,0.0129518072289156,0.4810161772457389,0.25296889564588565,95132.81834919268,34.56812571428777,4832.613525093122
2005,46,2006,3,0,2005-11-20,0.1961315721315709,1.6112,0.0121730121730121,0.5084057287238566,0.2539571545497831,95244.35336345853,36.98359686480477,4718.663039676553
